date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:50	538/538	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20May%202023%2010:35:49%20GMT	https://demo.goodlayers.com/robots.txt		(from )
13:35:50	235799/235799	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2007:19:35%20GMT	https://demo.goodlayers.com/hotale/resort2/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/index.html	(from )
13:35:51	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2011%20May%202023%2010:35:50%20GMT	https://demo.goodlayers.com/hotale/resort2/xmlrpc.php	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/xmlrpc.php	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:52	1618967/1618967	---M-Z	200	added ('OK')	text/css	etag:%221681287576%22	https://a6e8z9v6.stackpathcdn.com/hotale/resort2/wp-content/cache/min/6/41c7c2b54ab381e839a88e74cf1527df.css	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/a6e8z9v6.stackpathcdn.com/hotale/resort2/wp-content/cache/min/6/41c7c2b54ab381e839a88e74cf1527df.css	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:52	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%221683013036%22	https://a6e8z9v6.stackpathcdn.com/hotale/resort2/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=7.6.1	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/a6e8z9v6.stackpathcdn.com/hotale/resort2/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen56be.css	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:52	89815/89815	---M-Z	200	added ('OK')	application/javascript	etag:%221680145986%22	https://a6e8z9v6.stackpathcdn.com/hotale/resort2/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/a6e8z9v6.stackpathcdn.com/hotale/resort2/wp-includes/js/jquery/jquery.mina767.js	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:53	82781/82781	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2022%20May%202022%2005:00:58%20GMT	https://demo.goodlayers.com/hotale/resort2/feed/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/feed/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:54	3443/3443	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2022%20May%202022%2005:00:58%20GMT	https://demo.goodlayers.com/hotale/resort2/comments/feed/	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/comments/feed/index.html	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:54	1603/1603	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20May%202023%2010:35:53%20GMT	https://demo.goodlayers.com/hotale/resort2/wp-json/wp/v2/pages/15240	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/wp-json/wp/v2/pages/15240.json	(from https://demo.goodlayers.com/hotale/resort2/)
13:35:55	918/918	---MCZ	200	added ('OK')	text/xml	date:Thu,%2011%20May%202023%2010:35:54%20GMT	https://demo.goodlayers.com/hotale/resort2/xmlrpc.php?rsd	D:/Training/Laravel/Matchs_System/Design/Design/WebSite/demo.goodlayers.com/hotale/resort2/xmlrpc0db0.php	(from https://demo.goodlayers.com/hotale/resort2/)
